"id","soft_file_fk","name","is_control"
51826,14005,"GSM542556",0
51827,14005,"GSM542563",0
51828,14005,"GSM542572",0
51829,14005,"GSM542577",0
51830,14008,"GSM542560",1
51831,14008,"GSM542561",1
51832,14008,"GSM542573",1
51833,14008,"GSM542558",0
51834,14008,"GSM542562",0
29510,14061,"GSM334277",1
29511,14061,"GSM334278",1
29512,14061,"GSM334279",1
29513,14061,"GSM334280",1
29514,14061,"GSM334281",1
29515,14061,"GSM334282",0
29516,14061,"GSM334283",0
29517,14061,"GSM334284",0
29518,14061,"GSM334285",0
29519,14061,"GSM334286",0
41425,14062,"GSM73186",0
41426,14062,"GSM73189",0
41427,14062,"GSM73191",0
41404,14063,"GSM1082895",1
41405,14063,"GSM1082896",1
41406,14063,"GSM1082897",1
41407,14063,"GSM1082901",0
41408,14063,"GSM1082902",0
41409,14063,"GSM1082903",0
41401,14065,"GSM83862",0
41402,14065,"GSM83866",0
41403,14065,"GSM83871",0
27818,21151,"GSM1303144",1
27821,21151,"GSM1303147",1
27822,21151,"GSM1303148",1
27825,21151,"GSM1303151",1
27829,21151,"GSM1303155",1
27839,21151,"GSM1303165",0
27841,21151,"GSM1303167",0
27843,21151,"GSM1303169",0
27844,21151,"GSM1303170",0
27846,21151,"GSM1303172",0
27848,21151,"GSM1303174",0
27849,21151,"GSM1303175",0
27851,21151,"GSM1303177",0
27852,21151,"GSM1303178",0
27819,21152,"GSM1303145",1
27820,21152,"GSM1303146",1
27823,21152,"GSM1303149",1
27824,21152,"GSM1303150",1
27826,21152,"GSM1303152",1
27827,21152,"GSM1303153",1
27828,21152,"GSM1303154",1
27840,21152,"GSM1303166",0
27842,21152,"GSM1303168",0
27845,21152,"GSM1303171",0
27847,21152,"GSM1303173",0
27850,21152,"GSM1303176",0
27853,21152,"GSM1303179",0
27854,21152,"GSM1303180",0
24840,21155,"GSM618092",1
24841,21155,"GSM618093",1
24842,21155,"GSM618094",1
24843,21155,"GSM618095",1
24844,21155,"GSM618096",1
24845,21155,"GSM618097",1
24870,21155,"GSM618080",0
24871,21155,"GSM618081",0
24872,21155,"GSM618082",0
24873,21155,"GSM618083",0
24874,21155,"GSM618084",0
24875,21155,"GSM618085",0
23295,21159,"GSM73000",0
23296,21159,"GSM73340",0
23297,21159,"GSM73341",0
2214,21160,"GSM487046",1
2215,21160,"GSM487047",1
2216,21160,"GSM487048",1
2752,21160,"GSM487058",0
2753,21160,"GSM487059",0
2754,21160,"GSM487060",0
23947,21160,"GSM487061",0
41170,21161,"GSM1674180",1
41171,21161,"GSM1674181",1
41172,21161,"GSM1674182",1
41173,21161,"GSM1674183",1
41174,21161,"GSM1674184",0
41175,21161,"GSM1674185",0
41176,21161,"GSM1674186",0
41177,21161,"GSM1674187",0
2220,21162,"GSM487052",1
2221,21162,"GSM487053",1
2222,21162,"GSM487054",1
2758,21162,"GSM487066",0
2759,21162,"GSM487067",0
2760,21162,"GSM487068",0
80889,21163,"GSM1334647",1
80890,21163,"GSM1334648",1
80891,21163,"GSM1334649",1
80892,21163,"GSM1334650",1
80893,21163,"GSM1334651",0
80894,21163,"GSM1334652",0
80895,21163,"GSM1334653",0
80896,21163,"GSM1334654",0
80897,21164,"GSM1334635",1
80898,21164,"GSM1334636",1
80899,21164,"GSM1334637",1
80900,21164,"GSM1334638",1
80901,21164,"GSM1334639",0
80902,21164,"GSM1334640",0
80903,21164,"GSM1334641",0
80904,21164,"GSM1334642",0
28087,21165,"GSM1096551",0
28088,21165,"GSM1096552",0
28089,21165,"GSM1096553",0
28090,21165,"GSM1096554",0
80905,21166,"GSM1334611",1
80906,21166,"GSM1334612",1
80907,21166,"GSM1334613",1
80908,21166,"GSM1334614",1
